Date,Price,Open,High,Low,Vol.,Change %
06-11-2018,531.42,524.64,535.63,510.29,1.21M,1.29%
06-12-2018,494.48,531.40,538.16,484.99,1.24M,-6.95%
06-13-2018,476.17,494.60,501.64,450.67,1.56M,-3.70%
06-14-2018,519.49,476.17,525.21,461.62,1.70M,9.10%
06-15-2018,487.88,519.49,520.73,483.99,1.25M,-6.09%
06-16-2018,496.93,487.88,502.47,484.89,749.09K,1.86%
06-17-2018,496.43,496.95,507.19,494.73,604.79K,-0.10%
06-18-2018,517.91,496.47,523.95,489.16,842.05K,4.33%
06-19-2018,538.22,517.91,547.50,514.88,985.96K,3.92%
06-20-2018,536.31,538.22,541.08,517.42,873.14K,-0.36%
06-21-2018,526.01,536.31,544.71,522.47,774.03K,-1.92%
06-22-2018,462.57,525.97,526.26,450.72,1.74M,-12.06%
06-23-2018,474.14,462.58,482.42,456.46,1.22M,2.50%
06-24-2018,454.81,474.14,475.74,419.56,2.64M,-4.08%
06-25-2018,458.76,454.81,472.54,437.08,4.41M,0.87%
06-26-2018,430.33,458.76,459.96,429.87,5.31M,-6.20%
06-27-2018,442.16,430.32,445.38,423.01,2.02M,2.75%
06-28-2018,421.27,442.16,443.32,418.62,1.66M,-4.73%
06-29-2018,410.23,421.23,424.83,408.36,1.29M,-2.62%
